Date,Day,Start,End,Duration_min,Room,Class,Instructor
2026-04-27,Monday,07:30,08:30,60,Studio 1,STÄRK,Peter
2026-04-27,Monday,08:45,10:00,75,Studio 1,Yoga FLOW,Peter
2026-04-27,Monday,12:05,12:50,45,Studio 1,Noon Yoga FLOW (45 min),Finja
2026-04-27,Monday,16:15,17:15,60,Studio 1,Beväg - Strength & Movement Class,Rasmus
2026-04-27,Monday,17:15,18:30,75,Studio 2,Yoga FLOW,Emily
2026-04-27,Monday,17:30,19:00,90,Studio 1,Yoga GROW,Soham
2026-04-27,Monday,19:15,20:15,60,Sauna,Saunagus: VIBRANT,Oliver
2026-04-27,Monday,19:15,20:30,75,Studio 2,Yoga SLOW,Louise
2026-04-27,Monday,19:30,21:00,90,Studio 1,Aerial Yoga,Sisse
2026-04-28,Tuesday,08:00,09:00,60,Studio 1,Dans FREE,Louise
2026-04-28,Tuesday,09:00,10:30,90,At Rört,Community Breakfast,Nicola
2026-04-28,Tuesday,09:00,10:15,75,Studio 2,Yoga FLOW,Thit
2026-04-28,Tuesday,12:05,12:40,35,Studio 1,Noon Stärk (35 min),Peter
2026-04-28,Tuesday,16:30,17:45,75,Studio 1,Shake The Dust,Janni
2026-04-28,Tuesday,16:45,18:00,75,Studio 2,Yoga GROW,Nanna
2026-04-28,Tuesday,18:00,19:15,75,Studio 1,Contact Impro,Maja
2026-04-28,Tuesday,18:15,19:30,75,Studio 2,Yoga SLOW,Janni
2026-04-28,Tuesday,19:15,20:15,60,Studio 1,Contact Impro Tuesday Jam,Maja
2026-04-28,Tuesday,20:00,21:00,60,Sauna,Saunagus: CALM,Nicola
2026-04-28,Tuesday,20:00,21:00,60,Studio 2,Meditation Class: Roklubben,Søren
2026-04-29,Wednesday,07:30,08:45,75,Studio 1,Yoga FLOW,Jeppe
2026-04-29,Wednesday,09:00,10:00,60,Studio 1,STÄRK,Eva
2026-04-29,Wednesday,12:05,12:50,45,Studio 1,Noon Yoga FLOW (45 min),Louise
2026-04-29,Wednesday,16:45,17:45,60,Studio 2,Handstand,Peter
2026-04-29,Wednesday,17:00,18:15,75,Studio 1,Dans FLOW,Nikoline
2026-04-29,Wednesday,18:15,19:30,75,Studio 2,Yoga FLOW,Louise
2026-04-29,Wednesday,19:00,20:00,60,Sauna,Saunagus: VIBRANT,Kalle
2026-04-29,Wednesday,19:00,20:30,90,Studio 1,Rört Special: Free your Voice,Simon
2026-04-30,Thursday,07:00,08:00,60,The Black Diamond (outdoors),Trappeträning (Outdoors),Björn
2026-04-30,Thursday,08:30,09:45,75,Studio 2,Yoga FLOW,Janni
2026-04-30,Thursday,09:00,10:00,60,Studio 1,GAGA,Kari
2026-04-30,Thursday,12:05,12:40,35,Studio 1,Noon Stärk (35 min),Eva
2026-04-30,Thursday,17:00,18:15,75,Studio 1,Yoga GROW,Rasmus
2026-04-30,Thursday,17:00,18:15,75,Studio 2,Acroyoga,Eva
2026-04-30,Thursday,18:30,19:45,75,Studio 1,Yoga SLOW,Finja
2026-04-30,Thursday,18:30,20:00,90,Studio 2,Bodywork,Line
2026-04-30,Thursday,20:30,21:45,75,Sauna,Saunagus: VIBRANT,Line
2026-05-01,Friday,08:15,09:30,75,Studio 1,Yoga GROW,Soham
2026-05-01,Friday,10:00,11:30,90,Studio 1,Yoga SLOW,Soham
2026-05-01,Friday,12:05,12:50,45,Studio 1,Noon Yoga FLOW (45 min),Nanna
2026-05-01,Friday,16:30,18:00,90,Studio 1,Friday Fight,Tobias
2026-05-01,Friday,17:00,18:15,75,Studio 2,Yoga FLOW,Oliver
2026-05-01,Friday,18:30,19:30,60,Sauna,Saunagus #byMembers,#byMembers
2026-05-02,Saturday,09:00,10:15,75,Studio 1,Yoga FLOW,Oliver
2026-05-02,Saturday,10:30,11:45,75,Studio 1,Beväg - Strength & Movement Class,Oliver
2026-05-02,Saturday,12:00,13:00,60,Sauna,Saunagus #byMembers,#byMembers
2026-05-02,Saturday,12:00,13:45,105,Studio 1,Rört Special #byMembers: Djembe Workshop,Jack
2026-05-02,Saturday,14:00,15:15,75,Studio 1,Shake The Dust,Sophie
2026-05-03,Sunday,10:00,11:15,75,Studio 1,Yoga FLOW,Soham
2026-05-03,Sunday,11:30,12:45,75,Studio 1,Yoga SLOW,Soham
2026-05-03,Sunday,13:30,15:00,90,Studio 1,Rört Special #byMembers: Dance - Play - Connect,Mie
2026-05-03,Sunday,13:30,14:30,60,Studio 2,Sunday Fight,Henrik
2026-05-03,Sunday,16:00,18:00,120,Studio 1,Sunday Deep: Fascial Flow,Kari
2026-05-03,Sunday,16:00,18:00,120,Studio 2,Rört Special #byMembers: Cyclical Circle,Blanka
2026-05-03,Sunday,16:30,17:30,60,Sauna,Saunagus: VIBRANT,Kalle
2026-05-03,Sunday,18:30,19:30,60,Sauna,Saunagus: CALM,Søren
